participant,session,date,expName,psychopyVersion,OS,frameRate,position_prop,about_rate1.response,about_rate2.response,trials_block1.thisRepN,trials_block1.thisTrialN,trials_block1.thisN,trials_block1.thisIndex,trials_block1.ran,item,condition,context,Q_loc,Q_like,list,block,continue_rate.response,trials_block2.thisRepN,trials_block2.thisTrialN,trials_block2.thisN,trials_block2.thisIndex,trials_block2.ran,continuation,age_enter.text,gender_slider.response,lang_enter.text
231313,001,2023-06-21_13h01.06.757,quick_pilot2,2022.2.5,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,
231313,001,2023-06-21_13h01.06.757,quick_pilot2,2022.2.5,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,
231313,001,2023-06-21_13h01.06.757,quick_pilot2,2022.2.5,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,
231313,001,2023-06-21_13h01.06.757,quick_pilot2,2022.2.5,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,
231313,001,2023-06-21_13h01.06.757,quick_pilot2,2022.2.5,Win32,61.04260774,"[[0,-0.08],[0,-0.25]]",0.987037094,0.465740769,0,0,0,4,1,f4,filler,Alice said: My mom hates doing the laundry.,about what Alice's mom hates about doing the laundry,about what Alice's mom hates about squirrels,2,1,,,,,,,,,,
231313,001,2023-06-21_13h01.06.757,quick_pilot2,2022.2.5,Win32,61.04260774,"[[0,-0.08],[0,-0.25]]",0.00462963,0.014814836,0,1,1,0,1,t2,look_nai,Emma said: Mary is looking for Peter. ,about where Peter is,about what Peter likes,2,1,,,,,,,,,,
231313,001,2023-06-21_13h01.06.757,quick_pilot2,2022.2.5,Win32,61.04260774,"[[0,-0.08],[0,-0.25]]",0.493518547,0.009259259,0,2,2,2,1,f2,filler,Eleanore said: Alex went to the movies yesterday.,about which movie Alex saw,about what Alex did after the movies,2,1,,,,,,,,,,
231313,001,2023-06-21_13h01.06.757,quick_pilot2,2022.2.5,Win32,61.04260774,"[[0,-0.08],[0,-0.25]]",0.5,0.488888917,0,3,3,3,1,f3,filler,Randy said: Cindy is searching for a new job.,about what Cindy's skills are,about when Cindy gets up in the morning,2,1,,,,,,,,,,
231313,001,2023-06-21_13h01.06.757,quick_pilot2,2022.2.5,Win32,61.04260774,"[[0,-0.08],[0,-0.25]]",0.998148176,0.006481489,0,4,4,1,1,f1,filler,George said: My aunt admires Robbie Williams.,about why George's aunt admires Robbie Williams,about what Robbie Williams does,2,1,,,,,,,,,,
231313,001,2023-06-21_13h01.06.757,quick_pilot2,2022.2.5,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,
231313,001,2023-06-21_13h01.06.757,quick_pilot2,2022.2.5,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,
231313,001,2023-06-21_13h01.06.757,quick_pilot2,2022.2.5,Win32,61.04260774,,,,,,,,,f1,filler,George said: My aunt admires Robbie Williams. But my aunt likes his strong singing voice.,,,2,2,0.193518533,0,0,0,1,1,But my aunt likes his strong singing voice.,,,
231313,001,2023-06-21_13h01.06.757,quick_pilot2,2022.2.5,Win32,61.04260774,,,,,,,,,t2,look_nai,"Emma said: Mary is looking for Peter. Peter, who is at Susan’s house, likes pizza.",,,2,2,0.003703718,0,1,1,0,1,"Peter, who is at Susan’s house, likes pizza.",,,
231313,001,2023-06-21_13h01.06.757,quick_pilot2,2022.2.5,Win32,61.04260774,,,,,,,,,f3,filler,Randy said: Cindy is searching for a new job. She gets up every morning at 8.,,,2,2,0.987962935,0,2,2,3,1,She gets up every morning at 8.,,,
231313,001,2023-06-21_13h01.06.757,quick_pilot2,2022.2.5,Win32,61.04260774,,,,,,,,,f2,filler,Eleanore said: Alex went to the movies yesterday. It was a boring movie that he watched.,,,2,2,0.970370399,0,3,3,2,1,It was a boring movie that he watched.,,,
231313,001,2023-06-21_13h01.06.757,quick_pilot2,2022.2.5,Win32,61.04260774,,,,,,,,,f4,filler,Alice said: My mom hates doing the laundry. What she loves doing is observing squirrels.,,,2,2,0.501851894,0,4,4,4,1,What she loves doing is observing squirrels.,,,
231313,001,2023-06-21_13h01.06.757,quick_pilot2,2022.2.5,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,32,1,English
